#EleNb	X	Y	Z	Solution	Assigned	Total
1	-0.15	0.00152	-0.135	6.508740970128954e-06	0	6.508740970128954e-06
2	-0.15	0.00152	-0.105	6.402035823591059e-06	0	6.402035823591059e-06
3	-0.15	0.00152	-0.075	6.38586335957105e-06	0	6.38586335957105e-06
4	-0.15	0.00152	-0.045	6.380019313738498e-06	0	6.380019313738498e-06
5	-0.15	0.00152	-0.015	6.377847022031088e-06	0	6.377847022031088e-06
6	-0.15	0.00152	0.015	6.377847022059832e-06	0	6.377847022059832e-06
7	-0.15	0.00152	0.045	6.38001931364178e-06	0	6.38001931364178e-06
8	-0.15	0.00152	0.075	6.385863359343931e-06	0	6.385863359343931e-06
9	-0.15	0.00152	0.105	6.402035823409961e-06	0	6.402035823409961e-06
10	-0.15	0.00152	0.135	6.508740969723589e-06	0	6.508740969723589e-06
11	-0.15	-0.00152	-0.135	-6.508740969720687e-06	0	-6.508740969720687e-06
12	-0.15	-0.00152	-0.105	-6.402035823410535e-06	0	-6.402035823410535e-06
13	-0.15	-0.00152	-0.075	-6.38586335934576e-06	0	-6.38586335934576e-06
14	-0.15	-0.00152	-0.045	-6.380019313669234e-06	0	-6.380019313669234e-06
15	-0.15	-0.00152	-0.015	-6.377847022068742e-06	0	-6.377847022068742e-06
16	-0.15	-0.00152	0.015	-6.377847022029607e-06	0	-6.377847022029607e-06
17	-0.15	-0.00152	0.045	-6.380019313711146e-06	0	-6.380019313711146e-06
18	-0.15	-0.00152	0.075	-6.385863359567365e-06	0	-6.385863359567365e-06
19	-0.15	-0.00152	0.105	-6.402035823766118e-06	0	-6.402035823766118e-06
20	-0.15	-0.00152	0.135	-6.508740970127064e-06	0	-6.508740970127064e-06
21	-0.15	0.001335	-0.135	0.0003261561958336301	0	0.0003261561958336301
22	-0.15	0.001335	-0.105	0.0003252972021407193	0	0.0003252972021407193
23	-0.15	0.001335	-0.075	0.00032488587935766	0	0.00032488587935766
24	-0.15	0.001335	-0.045	0.0003247060711752484	0	0.0003247060711752484
25	-0.15	0.001335	-0.015	0.0003246339990719158	0	0.0003246339990719158
26	-0.15	0.001335	0.015	0.0003246339997113093	0	0.0003246339997113093
27	-0.15	0.001335	0.045	0.0003247060733206394	0	0.0003247060733206394
28	-0.15	0.001335	0.075	0.0003248858795577082	0	0.0003248858795577082
