#Row	GivenPot	Error
1	0	3.58646e-08
2	0	7.24635e-08
3	0	1.1134e-08
4	0	6.94126e-08
5	0	1.40026e-08
6	0	1.14042e-08
7	0	8.92896e-08
8	0	3.26299e-08
9	0	1.64446e-08
10	0	9.96351e-09
11	0	6.57506e-08
12	0	8.80536e-08
13	0	4.38376e-10
14	0	1.11153e-07
15	0	5.86169e-08
16	0	2.96768e-08
17	0	3.34276e-08
18	0	8.40128e-08
19	0	1.32004e-08
20	0	1.12098e-07
21	2500	2.00998e-10
22	2500	1.94632e-10
23	2500	1.31877e-11
24	2500	2.30557e-10
25	2500	1.09139e-11
26	2500	1.95541e-11
27	2500	1.40972e-11
28	2500	4.3201e-11
29	2500	4.36557e-11
30	2500	2.10093e-10
31	-2500	7.9126e-11
32	-2500	2.18279e-11
33	-2500	4.54747e-11
34	-2500	1.38243e-10
35	-2500	1.23237e-10
36	-2500	6.59384e-11
37	-2500	1.46883e-10
38	-2500	1.27784e-10
39	-2500	1.19144e-10
40	-2500	1.47793e-10
41	0	1.55478e-09
42	0	4.72755e-09
43	0	1.01227e-08
44	0	1.92358e-08
45	0	1.51513e-08
46	0	2.65936e-09
47	0	8.45284e-09
48	0	3.66081e-08
49	0	2.18088e-08
50	0	3.74566e-08
51	0	1.71885e-08
52	0	1.48198e-08
53	0	1.72995e-08
54	0	8.74934e-10
55	0	1.24674e-08
56	0	3.08946e-08
57	0	1.47174e-08
58	0	3.07655e-08
59	0	2.7454e-08
60	0	1.38289e-08
61	0	1.20567e-08
62	0	1.42713e-08
63	0	1.06438e-08
64	0	1.6089e-08
65	0	1.9555e-08
66	0	1.96997e-08
67	0	1.91076e-08
68	0	2.08956e-08
69	0	2.3847e-09
70	0	5.3391e-08
71	0	2.87023e-08
72	0	1.00381e-07
73	0	5.18048e-09
74	0	1.64191e-08
75	0	1.55187e-08
76	0	1.20035e-07
77	0	3.78413e-08
78	0	3.68664e-08
79	0	1.41485e-07
80	0	1.34751e-07
81	0	5.86606e-08
82	0	4.37144e-08
83	0	4.75839e-08
84	0	1.12906e-07
85	0	6.83804e-08
86	0	9.31632e-08
87	0	5.16284e-08
88	0	1.09929e-07
89	0	2.60879e-08
90	0	3.13457e-08
91	0	4.06299e-08
92	0	1.92367e-08
93	0	3.3484e-08
94	0	3.07928e-08
95	0	1.92949e-08
96	0	4.63751e-08
97	0	1.33905e-08
98	0	2.72403e-08
99	0	3.95312e-08
100	0	1.66174e-08
101	0	2.87123e-08
102	0	1.35924e-08
103	0	1.36488e-08
104	0	4.95183e-08
105	0	2.02726e-09
106	0	1.62099e-08
107	0	3.66344e-09
108	0	9.01437e-08
109	0	1.42791e-09
110	0	2.22881e-08
111	0	1.16506e-09
112	0	5.09776e-08
113	0	2.80234e-08
114	0	1.63509e-08
115	0	2.23181e-08
116	0	4.0227e-09
117	0	4.97184e-08
118	0	6.35737e-10
119	0	1.34769e-08
120	0	2.60115e-10
121	0	1.71131e-08
122	0	2.27592e-08
123	0	5.93354e-08
124	0	5.539e-08
125	0	3.32366e-08
126	0	9.10763e-08
127	0	7.70842e-08
128	0	1.00786e-07
129	0	2.24588e-07
130	0	4.08981e-08
131	0	8.46339e-08
132	0	4.25789e-08
133	0	3.88318e-08
134	0	8.08814e-08
135	0	4.18931e-08
136	0	1.10712e-07
137	0	9.42541e-08
138	0	3.56852e-08
139	0	5.65001e-08
140	0	4.3522e-08
141	2500	2.50111e-11
142	2500	1.68257e-11
143	2500	7.00311e-11
144	2500	1.15051e-10
145	2500	8.6402e-11
146	2500	1.5325e-10
147	2500	3.18323e-12
148	2500	3.7744e-10
149	2500	4.04725e-11
150	2500	2.71029e-10
151	-2500	7.7307e-12
152	-2500	4.1382e-11
153	-2500	1.1778e-10
154	-2500	4.27463e-11
155	-2500	2.04636e-11
156	-2500	2.03272e-10
157	-2500	1.437e-10
158	-2500	2.07365e-10
159	-2500	1.22782e-10
160	-2500	6.59384e-11
161	0	2.28174e-08
162	0	1.39698e-09
163	0	3.24508e-08
164	0	4.05416e-08
165	0	1.94714e-08
166	0	1.69621e-08
167	0	4.30648e-08
168	0	4.35498e-08
169	0	3.02575e-08
170	0	2.91404e-08
171	0	4.19095e-09
172	0	9.98261e-09
173	0	1.75278e-08
174	0	1.41881e-10
175	0	4.57867e-08
176	0	1.39653e-09
177	0	2.58617e-08
178	0	6.92999e-08
179	0	2.49579e-08
180	0	9.94135e-09
181	0	2.15368e-08
182	0	1.33878e-08
183	0	1.66619e-09
184	0	3.04735e-08
185	0	7.61884e-09
186	0	2.41466e-08
187	0	2.78958e-08
188	0	7.08669e-08
189	0	2.08536e-09
190	0	1.4067e-08
191	0	9.12696e-08
192	0	2.52912e-08
193	0	1.77824e-08
194	0	6.92762e-08
195	0	4.66216e-08
196	0	2.34622e-08
197	0	6.96559e-09
198	0	1.66522e-07
199	0	1.14354e-08
200	0	1.41707e-07
201	0	7.41566e-08
202	0	2.93949e-09
203	0	7.54517e-08
204	0	1.92675e-07
205	0	9.84364e-08
206	0	1.70121e-09
207	0	9.30136e-08
208	0	4.27012e-08
209	0	1.04937e-08
210	0	7.97334e-08
211	0	1.07102e-08
212	0	1.35042e-08
213	0	5.86297e-08
214	0	3.54612e-08
215	0	1.05501e-08
216	0	1.82658e-08
217	0	4.78426e-08
218	0	5.30918e-08
