#PrimNb	EleBgn	EleEnd	X	Y	Z	AvChDen	AvAsgndChDen
1	1	10	-0.015	0.00152	0	8.3020652841233e-06	0
2	11	20	-0.015	-0.00152	0	-8.302065284122098e-06	0
3	21	30	-0.015	0.001335	0	0.0002100467362639192	0
4	31	40	-0.015	-0.001335	0	-0.0002100467362638461	0
5	41	80	-0.015	0.000725	0	1.481217024518696e-05	0
6	81	120	-0.015	-0.000725	0	-1.481217024519029e-05	0
7	121	130	0.015	0.00152	0	8.30206528412312e-06	0
8	131	140	0.015	-0.00152	0	-8.302065284123015e-06	0
9	141	150	0.015	0.001335	0	0.0002100467362638072	0
10	151	160	0.015	-0.001335	0	-0.0002100467362639182	0
11	161	200	0.015	0.000725	0	1.481217024519001e-05	0
12	201	240	0.015	-0.000725	0	-1.481217024518683e-05	0
13	241	340	0	0.001695	0	1.72873330096739e-06	0
14	341	350	0	0.00152	-0.015	8.302065284123428e-06	0
15	351	360	0	-0.00152	-0.015	-8.302065284122749e-06	0
16	361	370	0	0.001335	-0.015	0.000210046736263865	0
17	371	380	0	-0.001335	-0.015	-0.0002100467362638673	0
18	381	420	0	0.000725	-0.015	1.481217024518868e-05	0
19	421	460	0	-0.000725	-0.015	-1.481217024518955e-05	0
20	461	470	0	0.00152	0.015	8.302065284122407e-06	0
21	471	480	0	-0.00152	0.015	-8.302065284122685e-06	0
22	481	490	0	0.001335	0.015	0.0002100467362638159	0
23	491	500	0	-0.001335	0.015	-0.0002100467362638931	0
24	501	540	0	0.000725	0.015	1.481217024519149e-05	0
25	541	580	0	-0.000725	0.015	-1.481217024519056e-05	0
26	581	680	0	-0.001695	0	-1.728733300967407e-06	0
27	681	780	0	0.001345	0	9.440466195014179e-07	0
28	781	880	0	-0.001345	0	-9.440466194856456e-07	0
29	881	980	0	0.001325	0	9.210325443037904e-06	0
30	981	1080	0	-0.001325	0	-9.21032544305366e-06	0
31	1081	1180	0	0.000125	0	8.094883254755173e-05	0
32	1181	1280	0	-0.000125	0	-8.094883254755174e-05	0
