#EleNb	X	Y	Z	Solution	Assigned	Total
1	-0.15	0.00152	-0.135	1.301748194025791e-05	0	1.301748194025791e-05
2	-0.15	0.00152	-0.105	1.280407164718212e-05	0	1.280407164718212e-05
3	-0.15	0.00152	-0.075	1.27717267191421e-05	0	1.27717267191421e-05
4	-0.15	0.00152	-0.045	1.2760038627477e-05	0	1.2760038627477e-05
5	-0.15	0.00152	-0.015	1.275569404406218e-05	0	1.275569404406218e-05
6	-0.15	0.00152	0.015	1.275569404411966e-05	0	1.275569404411966e-05
7	-0.15	0.00152	0.045	1.276003862728356e-05	0	1.276003862728356e-05
8	-0.15	0.00152	0.075	1.277172671868786e-05	0	1.277172671868786e-05
9	-0.15	0.00152	0.105	1.280407164681992e-05	0	1.280407164681992e-05
10	-0.15	0.00152	0.135	1.301748193944718e-05	0	1.301748193944718e-05
11	-0.15	-0.00152	-0.135	-1.301748193944137e-05	0	-1.301748193944137e-05
12	-0.15	-0.00152	-0.105	-1.280407164682107e-05	0	-1.280407164682107e-05
13	-0.15	-0.00152	-0.075	-1.277172671869152e-05	0	-1.277172671869152e-05
14	-0.15	-0.00152	-0.045	-1.276003862733847e-05	0	-1.276003862733847e-05
15	-0.15	-0.00152	-0.015	-1.275569404413748e-05	0	-1.275569404413748e-05
16	-0.15	-0.00152	0.015	-1.275569404405921e-05	0	-1.275569404405921e-05
17	-0.15	-0.00152	0.045	-1.276003862742229e-05	0	-1.276003862742229e-05
18	-0.15	-0.00152	0.075	-1.277172671913473e-05	0	-1.277172671913473e-05
19	-0.15	-0.00152	0.105	-1.280407164753224e-05	0	-1.280407164753224e-05
20	-0.15	-0.00152	0.135	-1.301748194025413e-05	0	-1.301748194025413e-05
21	-0.15	0.001335	-0.135	0.0006523123916672602	0	0.0006523123916672602
22	-0.15	0.001335	-0.105	0.0006505944042814386	0	0.0006505944042814386
23	-0.15	0.001335	-0.075	0.00064977175871532	0	0.00064977175871532
24	-0.15	0.001335	-0.045	0.0006494121423504969	0	0.0006494121423504969
25	-0.15	0.001335	-0.015	0.0006492679981438315	0	0.0006492679981438315
26	-0.15	0.001335	0.015	0.0006492679994226186	0	0.0006492679994226186
27	-0.15	0.001335	0.045	0.0006494121466412788	0	0.0006494121466412788
28	-0.15	0.001335	0.075	0.0006497717591154163	0	0.0006497717591154163
29	-0.15	0.001335	0.105	0.0006505944077986795	0	0.0006505944077986795
30	-0.15	0.001335	0.135	0.0006523123899515316	0	0.0006523123899515316
31	-0.15	-0.001335	-0.135	-0.0006523123916881365	0	-0.0006523123916881365
32	-0.15	-0.001335	-0.105	-0.0006505944042669052	0	-0.0006505944042669052
