#PrimNb	EleBgn	EleEnd	X	Y	Z	AvChDen	AvAsgndChDen
1	1	10	-0.15	0.00152	0	7.693081557268764e-06	0
2	11	20	-0.15	-0.00152	0	-7.693081557289936e-06	0
3	21	30	-0.15	0.001335	0	0.0003901630438852723	0
4	31	40	-0.15	-0.001335	0	-0.0003901630438842181	0
5	41	50	-0.15	0.000725	0	1.250627253454651e-05	0
6	51	60	-0.15	-0.000725	0	-1.250627253456709e-05	0
7	61	70	0.15	0.00152	0	7.693081557296697e-06	0
8	71	80	0.15	-0.00152	0	-7.693081557274301e-06	0
9	81	90	0.15	0.001335	0	0.0003901630438838646	0
10	91	100	0.15	-0.001335	0	-0.0003901630438848619	0
11	101	110	0.15	0.000725	0	1.250627253456241e-05	0
12	111	120	0.15	-0.000725	0	-1.250627253454359e-05	0
13	121	220	0	0.001695	0	2.641000837120306e-07	0
14	221	230	0	0.00152	-0.15	7.693081557271818e-06	0
15	231	240	0	-0.00152	-0.15	-7.693081557271586e-06	0
16	241	250	0	0.001335	-0.15	0.000390163043884454	0
17	251	260	0	-0.001335	-0.15	-0.0003901630438847761	0
18	261	270	0	0.000725	-0.15	1.25062725345685e-05	0
19	271	280	0	-0.000725	-0.15	-1.250627253456724e-05	0
20	281	290	0	0.00152	0.15	7.693081557296731e-06	0
21	291	300	0	-0.00152	0.15	-7.693081557292689e-06	0
22	301	310	0	0.001335	0.15	0.0003901630438845447	0
23	311	320	0	-0.001335	0.15	-0.0003901630438849074	0
24	321	330	0	0.000725	0.15	1.250627253454976e-05	0
25	331	340	0	-0.000725	0.15	-1.250627253455039e-05	0
26	341	440	0	-0.001695	0	-2.641000837114843e-07	0
27	441	540	0	0.001345	0	1.267082979236891e-07	0
28	541	640	0	-0.001345	0	-1.267082979282786e-07	0
29	641	740	0	0.001325	0	1.08431404307599e-05	0
30	741	840	0	-0.001325	0	-1.084314043075591e-05	0
31	841	940	0	0.000125	0	9.757432752350227e-05	0
32	941	1040	0	-0.000125	0	-9.757432752350225e-05	0
