#Row	GivenPot	Error
1	0	3.69591e-08
2	0	2.94694e-08
3	0	1.84978e-07
4	0	3.67725e-07
5	0	1.5915e-07
6	0	9.42973e-08
7	0	1.31175e-07
8	0	2.52265e-07
9	0	1.85575e-07
10	0	2.60541e-07
11	0	1.61526e-08
12	0	1.72507e-07
13	0	1.39319e-07
14	0	1.90817e-07
15	0	1.34618e-07
16	0	1.97642e-08
17	0	1.06384e-07
18	0	1.63622e-07
19	0	9.74142e-08
20	0	4.94747e-08
21	3000	2.51612e-09
22	3000	3.82443e-10
23	3000	2.76941e-10
24	3000	1.71758e-09
25	3000	2.51885e-09
26	3000	9.75888e-10
27	3000	8.15362e-10
28	3000	3.16277e-09
29	3000	1.78034e-09
30	3000	4.22733e-09
31	-3000	1.18644e-09
32	-3000	5.74801e-10
33	-3000	6.88942e-10
34	-3000	1.29876e-09
35	-3000	3.20142e-10
36	-3000	4.89308e-10
37	-3000	1.31922e-09
38	-3000	2.9504e-09
39	-3000	7.86713e-10
40	-3000	2.74213e-09
41	0	6.6716e-09
42	0	2.39068e-07
43	0	3.94211e-08
44	0	3.54121e-08
45	0	6.17583e-08
46	0	6.91816e-08
47	0	1.57543e-07
48	0	2.45664e-07
49	0	1.80651e-07
50	0	1.1655e-07
51	0	4.23925e-08
52	0	1.74014e-07
53	0	1.01342e-07
54	0	2.63344e-08
55	0	4.45752e-08
56	0	2.14641e-09
57	0	2.53003e-08
58	0	1.9572e-07
59	0	3.47851e-07
60	0	2.35139e-07
61	0	7.82311e-08
62	0	3.21539e-07
63	0	4.2266e-08
64	0	2.12251e-07
65	0	3.22889e-08
66	0	1.70044e-07
67	0	2.26933e-07
68	0	6.55832e-08
69	0	4.1545e-08
70	0	1.13539e-07
71	0	1.49012e-07
72	0	1.45403e-07
73	0	1.05792e-08
74	0	7.75453e-08
75	0	1.44242e-07
76	0	2.23262e-07
77	0	3.1446e-08
78	0	2.50709e-07
79	0	2.04867e-07
80	0	1.19018e-07
81	3000	2.50566e-10
82	3000	4.15184e-10
83	3000	1.82945e-09
84	3000	1.89038e-09
85	3000	1.34196e-09
86	3000	1.65301e-09
87	3000	2.58751e-10
88	3000	9.3587e-10
89	3000	7.52152e-10
90	3000	2.21735e-09
91	-3000	5.41149e-11
92	-3000	1.79398e-09
93	-3000	1.65664e-09
94	-3000	2.27828e-10
95	-3000	1.56297e-09
96	-3000	1.77761e-09
97	-3000	2.08956e-09
98	-3000	2.33604e-09
99	-3000	1.30512e-10
100	-3000	1.46474e-09
101	0	6.14673e-08
102	0	5.326e-08
103	0	9.2361e-08
104	0	5.34601e-08
105	0	2.61572e-07
106	0	8.82665e-08
107	0	6.41155e-08
108	0	1.74414e-08
109	0	6.38044e-08
110	0	1.1314e-07
111	0	1.99303e-07
112	0	1.57976e-07
113	0	1.70985e-08
114	0	1.03226e-07
115	0	1.00179e-07
116	0	5.66074e-08
117	0	6.06253e-08
118	0	1.93298e-07
119	0	3.27711e-08
120	0	8.80931e-08
121	0	2.07026e-07
122	0	1.14317e-07
123	0	2.19953e-08
124	0	2.43182e-08
125	0	1.23352e-07
126	0	1.02943e-07
127	0	2.16455e-07
128	0	1.15579e-07
129	0	9.32343e-08
130	0	1.83729e-07
131	0	1.84457e-11
132	0	1.40125e-07
133	0	4.5275e-08
134	0	6.57105e-08
135	0	1.46255e-07
136	0	5.7864e-08
137	0	4.30213e-08
138	0	1.42234e-07
139	0	1.55098e-07
140	0	2.10628e-07
141	0	1.34853e-07
142	0	1.78758e-07
143	0	1.30551e-07
144	0	1.45039e-07
145	0	7.22189e-09
146	0	3.75116e-08
147	0	8.85396e-08
148	0	1.30848e-07
149	0	1.69073e-07
150	0	9.99301e-08
151	0	9.58846e-08
152	0	1.18055e-07
153	0	2.48298e-07
154	0	1.69513e-07
155	0	2.72137e-08
156	0	7.79464e-08
157	0	7.7062e-08
158	0	9.26984e-08
159	0	1.98376e-07
160	0	2.78402e-07
161	0	1.09431e-07
162	0	6.00836e-08
163	0	2.84674e-07
164	0	1.92634e-07
165	0	1.17276e-08
166	0	2.35673e-08
167	0	2.49822e-07
168	0	3.58168e-08
169	0	5.18734e-08
170	0	2.1081e-07
171	0	1.26729e-07
172	0	1.7668e-07
173	0	2.20995e-07
174	0	1.21919e-07
175	0	1.86097e-07
176	0	2.63416e-08
177	0	1.29686e-07
178	0	1.36158e-07
179	0	1.32511e-07
180	0	1.8211e-07
181	0	1.82095e-07
182	0	1.49707e-07
183	0	7.72791e-08
184	0	4.84506e-08
185	0	7.9183e-08
186	0	1.30197e-07
187	0	1.30214e-07
188	0	2.20254e-07
189	0	1.25344e-07
190	0	2.05956e-07
191	0	1.24645e-07
192	0	6.91616e-08
193	0	1.86146e-08
194	0	1.03518e-07
195	0	1.18953e-07
196	0	6.27077e-08
197	0	6.41084e-08
198	0	9.49868e-08
199	0	2.10704e-07
200	0	2.03053e-07
201	0	3.66272e-08
202	0	1.66954e-07
203	0	1.10483e-07
204	0	1.76187e-07
205	0	2.18216e-07
206	0	2.75028e-08
207	0	2.27315e-07
208	0	5.80607e-08
209	0	1.30197e-07
210	0	8.81647e-08
211	0	1.42492e-07
212	0	9.06293e-08
213	0	2.56159e-08
214	0	1.29499e-07
215	0	9.65086e-08
216	0	2.62954e-07
217	0	3.49034e-07
218	0	6.57909e-08
219	0	2.46471e-08
220	0	6.53139e-08
221	0	1.48912e-07
222	0	1.29447e-07
223	0	3.59838e-07
224	0	2.54913e-08
225	0	3.65379e-07
226	0	2.42357e-07
227	0	1.7083e-07
228	0	2.69772e-07
229	0	1.47784e-08
230	0	1.56092e-08
231	0	2.22381e-07
232	0	2.73905e-07
233	0	4.0618e-08
234	0	1.60311e-07
235	0	2.00879e-07
236	0	1.10873e-07
237	0	3.42425e-09
238	0	2.02823e-07
239	0	8.28086e-08
240	0	1.50141e-07
241	3000	4.17458e-10
242	3000	3.01952e-10
243	3000	1.68711e-09
244	3000	4.77667e-09
245	3000	4.6839e-10
246	3000	3.08773e-10
247	3000	1.74214e-09
248	3000	1.96906e-10
249	3000	9.64064e-11
250	3000	2.73621e-09
251	-3000	1.91039e-09
252	-3000	1.8731e-09
253	-3000	2.67028e-09
254	-3000	9.50422e-10
255	-3000	3.02634e-09
256	-3000	2.49565e-09
257	-3000	1.21281e-09
258	-3000	8.09905e-10
259	-3000	1.3024e-09
260	-3000	8.93579e-10
261	0	1.71705e-07
262	0	1.78279e-08
263	0	1.13616e-07
264	0	1.35913e-07
265	0	2.93237e-07
266	0	9.18062e-08
267	0	6.24123e-08
268	0	7.02003e-08
269	0	1.05058e-07
270	0	1.56184e-07
271	0	7.23194e-08
272	0	1.07144e-07
273	0	8.54197e-08
274	0	1.345e-07
275	0	2.58005e-07
276	0	3.63437e-07
277	0	2.90729e-08
278	0	1.39506e-07
279	0	2.24691e-08
280	0	2.24813e-08
281	0	7.87689e-08
282	0	2.04578e-07
283	0	3.4499e-07
284	0	9.04924e-09
285	0	8.37686e-08
286	0	1.85137e-08
287	0	2.0675e-07
288	0	2.06368e-07
289	0	3.72529e-08
290	0	1.11759e-07
291	0	2.83815e-07
292	0	5.06452e-08
293	0	2.68401e-07
294	0	1.29033e-07
295	0	9.30736e-08
296	0	2.30011e-07
297	0	9.09076e-08
298	0	1.70112e-07
299	0	9.90112e-08
300	0	2.07685e-07
301	3000	3.64071e-09
302	3000	3.075e-09
303	3000	4.56794e-09
304	3000	5.8435e-10
305	3000	5.4888e-10
306	3000	2.63299e-10
307	3000	7.48969e-10
308	3000	4.47881e-09
309	3000	3.76485e-09
310	3000	1.93222e-09
311	-3000	8.85848e-10
312	-3000	1.63573e-09
313	-3000	2.20962e-09
314	-3000	1.3838e-09
315	-3000	1.94041e-09
316	-3000	1.24646e-09
317	-3000	2.28692e-09
318	-3000	1.40835e-09
319	-3000	2.33877e-09
320	-3000	6.36192e-10
321	0	1.92753e-07
322	0	6.12149e-08
323	0	2.30353e-07
324	0	1.56114e-07
325	0	2.2242e-07
326	0	1.59496e-07
327	0	6.01976e-08
328	0	3.80678e-07
329	0	1.86206e-07
330	0	2.14204e-07
331	0	1.30843e-07
332	0	1.19268e-07
333	0	2.29274e-07
334	0	1.35391e-07
335	0	1.15351e-07
336	0	3.38932e-08
337	0	6.49616e-08
338	0	2.53116e-07
339	0	9.73232e-08
340	0	8.84756e-08
341	0	4.03871e-07
342	0	4.4803e-07
343	0	1.08213e-07
344	0	5.98115e-07
345	0	1.16916e-07
346	0	6.15293e-08
347	0	6.75872e-07
348	0	9.34821e-08
349	0	6.00199e-07
350	0	1.20475e-06
351	0	5.73489e-07
352	0	1.14751e-06
353	0	3.29237e-08
354	0	5.64409e-07
355	0	7.84618e-07
356	0	4.96741e-07
357	0	6.7025e-07
358	0	2.41963e-07
359	0	3.3012e-07
360	0	3.91385e-07
361	0	5.63595e-07
362	0	3.67427e-07
363	0	2.06462e-07
364	0	2.85172e-07
365	0	2.94075e-07
366	0	3.02728e-07
367	0	3.24187e-07
368	0	5.70581e-07
369	0	2.78705e-07
370	0	4.08652e-07
371	0	1.17245e-07
372	0	5.89237e-07
373	0	1.22395e-07
374	0	2.76962e-07
375	0	7.98789e-08
376	0	1.7107e-07
377	0	3.75456e-07
378	0	2.80753e-07
379	0	2.45562e-07
380	0	3.48843e-07
381	0	1.083e-07
382	0	8.18296e-07
383	0	6.49339e-07
384	0	1.71617e-07
385	0	3.32204e-07
386	0	4.46423e-07
387	0	1.05818e-07
388	0	2.02969e-08
389	0	4.86213e-07
390	0	6.06883e-07
391	0	6.03026e-07
392	0	8.69015e-07
393	0	3.9644e-07
394	0	1.3896e-07
395	0	3.02671e-07
396	0	3.35269e-08
397	0	2.41507e-07
398	0	2.08233e-08
399	0	1.47169e-07
400	0	1.08476e-07
401	0	1.08869e-07
402	0	2.56598e-07
403	0	3.63778e-07
404	0	3.10576e-07
405	0	2.28869e-07
406	0	1.88053e-07
407	0	6.61364e-07
408	0	6.65102e-07
409	0	5.39944e-08
410	0	2.70686e-07
411	0	3.72887e-07
412	0	2.85734e-07
413	0	9.3341e-07
414	0	6.1955e-07
415	0	5.10688e-07
416	0	9.50553e-08
417	0	2.07711e-07
418	0	2.19081e-07
419	0	2.89252e-07
420	0	6.92471e-08
421	0	2.50956e-07
422	0	5.01821e-07
423	0	8.57677e-08
424	0	8.28476e-07
425	0	1.36339e-06
426	0	6.11165e-07
427	0	6.77347e-07
428	0	5.36237e-07
429	0	2.83719e-07
430	0	2.33456e-07
431	0	4.2756e-07
432	0	5.60113e-07
433	0	3.09772e-07
434	0	4.27863e-09
435	0	4.76532e-07
436	0	6.07828e-07
437	0	1.79411e-07
438	0	3.24062e-08
439	0	5.15167e-07
440	0	9.2946e-07
441	3000	4.23825e-10
442	3000	6.84395e-10
443	3000	1.95359e-09
444	3000	1.7485e-09
445	3000	1.25419e-09
446	3000	1.49612e-09
447	3000	4.73437e-09
448	3000	1.4893e-09
449	3000	1.49248e-09
450	3000	2.11776e-09
451	3000	2.96177e-09
452	3000	4.16549e-10
453	3000	1.7053e-09
454	3000	2.73485e-09
455	3000	1.25829e-09
456	3000	1.10322e-09
457	3000	3.36377e-09
458	3000	1.76988e-09
459	3000	4.27826e-09
460	3000	5.58884e-10
461	3000	3.41652e-09
