The cumulative induced charge.
Time [ns],Total Prompt [fC/ns],Total Delayed [fC/ns], Total Signal [fC/ns]
0,-nan,-nan,-nan
0.02000000000000000042,-nan,-nan,-nan
0.04000000000000000083,-nan,-nan,-nan
0.05999999999999999778,-nan,-nan,-nan
0.08000000000000000167,-nan,-nan,-nan
0.1000000000000000056,-nan,-nan,-nan
0.1199999999999999956,-nan,-nan,-nan
0.1400000000000000133,-nan,-nan,-nan
0.1600000000000000033,-nan,-nan,-nan
0.1799999999999999933,-nan,-nan,-nan
0.2000000000000000111,-nan,-nan,-nan
0.2200000000000000011,-nan,-nan,-nan
0.2399999999999999911,-nan,-nan,-nan
0.2600000000000000089,-nan,-nan,-nan
0.2800000000000000266,-nan,-nan,-nan
0.2999999999999999889,-nan,-nan,-nan
0.3200000000000000067,-nan,-nan,-nan
0.3400000000000000244,-nan,-nan,-nan
0.3599999999999999867,-nan,-nan,-nan
0.3800000000000000044,-nan,-nan,-nan
0.4000000000000000222,-nan,-nan,-nan
0.4199999999999999845,-nan,-nan,-nan
0.4400000000000000022,-nan,-nan,-nan
0.46000000000000002,-nan,-nan,-nan
0.4799999999999999822,-nan,-nan,-nan
0.5,-nan,-nan,-nan
0.5200000000000000178,-nan,-nan,-nan
0.5400000000000000355,-nan,-nan,-nan
0.5600000000000000533,-nan,-nan,-nan
0.57999999999999996,-nan,-nan,-nan
0.5999999999999999778,-nan,-nan,-nan
0.6199999999999999956,-nan,-nan,-nan
0.6400000000000000133,-nan,-nan,-nan
0.6600000000000000311,-nan,-nan,-nan
0.6800000000000000488,-nan,-nan,-nan
0.7000000000000000666,-nan,-nan,-nan
0.7199999999999999734,-nan,-nan,-nan
0.7399999999999999911,-nan,-nan,-nan
0.7600000000000000089,-nan,-nan,-nan
0.7800000000000000266,-nan,-nan,-nan
0.8000000000000000444,-nan,-nan,-nan
0.8200000000000000622,-nan,-nan,-nan
0.8399999999999999689,-nan,-nan,-nan
0.8599999999999999867,-nan,-nan,-nan
0.8800000000000000044,-nan,-nan,-nan
0.9000000000000000222,-nan,-nan,-nan
0.92000000000000004,-nan,-nan,-nan
0.9400000000000000577,-nan,-nan,-nan
0.9599999999999999645,-nan,-nan,-nan
0.9799999999999999822,-nan,-nan,-nan
1,-nan,-nan,-nan
1.020000000000000018,-nan,-nan,-nan
1.040000000000000036,-nan,-nan,-nan
1.060000000000000053,-nan,-nan,-nan
1.080000000000000071,-nan,-nan,-nan
1.100000000000000089,-nan,-nan,-nan
1.120000000000000107,-nan,-nan,-nan
1.140000000000000124,-nan,-nan,-nan
1.15999999999999992,-nan,-nan,-nan
1.179999999999999938,-nan,-nan,-nan
1.199999999999999956,-nan,-nan,-nan
1.219999999999999973,-nan,-nan,-nan
1.239999999999999991,-nan,-nan,-nan
1.260000000000000009,-nan,-nan,-nan
1.280000000000000027,-nan,-nan,-nan
1.300000000000000044,-nan,-nan,-nan
1.320000000000000062,-nan,-nan,-nan
1.34000000000000008,-nan,-nan,-nan
1.360000000000000098,-nan,-nan,-nan
1.380000000000000115,-nan,-nan,-nan
1.400000000000000133,-nan,-nan,-nan
1.419999999999999929,-nan,-nan,-nan
1.439999999999999947,-nan,-nan,-nan
1.459999999999999964,-nan,-nan,-nan
1.479999999999999982,-nan,-nan,-nan
1.5,-nan,-nan,-nan
1.520000000000000018,-nan,-nan,-nan
1.540000000000000036,-nan,-nan,-nan
1.560000000000000053,-nan,-nan,-nan
1.580000000000000071,-nan,-nan,-nan
1.600000000000000089,-nan,-nan,-nan
1.620000000000000107,-nan,-nan,-nan
1.640000000000000124,-nan,-nan,-nan
1.660000000000000142,-nan,-nan,-nan
1.679999999999999938,-nan,-nan,-nan
1.699999999999999956,-nan,-nan,-nan
1.719999999999999973,-nan,-nan,-nan
1.739999999999999991,-nan,-nan,-nan
1.760000000000000009,-nan,-nan,-nan
1.780000000000000027,-nan,-nan,-nan
1.800000000000000044,-nan,-nan,-nan
1.820000000000000062,-nan,-nan,-nan
1.84000000000000008,-nan,-nan,-nan
1.860000000000000098,-nan,-nan,-nan
1.880000000000000115,-nan,-nan,-nan
1.900000000000000133,-nan,-nan,-nan
1.919999999999999929,-nan,-nan,-nan
1.939999999999999947,-nan,-nan,-nan
1.959999999999999964,-nan,-nan,-nan
1.979999999999999982,-nan,-nan,-nan
2,-nan,-nan,-nan
2.020000000000000018,-nan,-nan,-nan
2.040000000000000036,-nan,-nan,-nan
2.060000000000000053,-nan,-nan,-nan
2.080000000000000071,-nan,-nan,-nan
2.100000000000000089,-nan,-nan,-nan
2.120000000000000107,-nan,-nan,-nan
2.140000000000000124,-nan,-nan,-nan
2.160000000000000142,-nan,-nan,-nan
2.18000000000000016,-nan,-nan,-nan
2.200000000000000178,-nan,-nan,-nan
2.220000000000000195,-nan,-nan,-nan
2.240000000000000213,-nan,-nan,-nan
2.260000000000000231,-nan,-nan,-nan
2.280000000000000249,-nan,-nan,-nan
2.300000000000000266,-nan,-nan,-nan
2.31999999999999984,-nan,-nan,-nan
2.339999999999999858,-nan,-nan,-nan
2.359999999999999876,-nan,-nan,-nan
2.379999999999999893,-nan,-nan,-nan
2.399999999999999911,-nan,-nan,-nan
2.419999999999999929,-nan,-nan,-nan
2.439999999999999947,-nan,-nan,-nan
2.459999999999999964,-nan,-nan,-nan
2.479999999999999982,-nan,-nan,-nan
2.5,-nan,-nan,-nan
2.520000000000000018,-nan,-nan,-nan
2.540000000000000036,-nan,-nan,-nan
2.560000000000000053,-nan,-nan,-nan
2.580000000000000071,-nan,-nan,-nan
2.600000000000000089,-nan,-nan,-nan
2.620000000000000107,-nan,-nan,-nan
2.640000000000000124,-nan,-nan,-nan
2.660000000000000142,-nan,-nan,-nan
2.68000000000000016,-nan,-nan,-nan
2.700000000000000178,-nan,-nan,-nan
2.720000000000000195,-nan,-nan,-nan
2.740000000000000213,-nan,-nan,-nan
2.760000000000000231,-nan,-nan,-nan
2.780000000000000249,-nan,-nan,-nan
2.800000000000000266,-nan,-nan,-nan
2.81999999999999984,-nan,-nan,-nan
2.839999999999999858,-nan,-nan,-nan
2.859999999999999876,-nan,-nan,-nan
2.879999999999999893,-nan,-nan,-nan
2.899999999999999911,-nan,-nan,-nan
2.919999999999999929,-nan,-nan,-nan
2.939999999999999947,-nan,-nan,-nan
2.959999999999999964,-nan,-nan,-nan
2.979999999999999982,-nan,-nan,-nan
3,-nan,-nan,-nan
3.020000000000000018,-nan,-nan,-nan
3.040000000000000036,-nan,-nan,-nan
3.060000000000000053,-nan,-nan,-nan
3.080000000000000071,-nan,-nan,-nan
3.100000000000000089,-nan,-nan,-nan
3.120000000000000107,-nan,-nan,-nan
3.140000000000000124,-nan,-nan,-nan
3.160000000000000142,-nan,-nan,-nan
