#PrimNb	EleBgn	EleEnd	X	Y	Z	AvChDen	AvAsgndChDen
1	1	10	-0.15	0.004195	0	-1.297089791631495e-06	0
2	11	20	-0.15	-0.004195	0	1.297089791635077e-06	0
3	21	30	-0.15	0.00152	0	5.9338149911262e-06	0
4	31	40	-0.15	-0.00152	0	-5.933814991146449e-06	0
5	41	50	-0.15	0.001335	0	0.000382757442174614	0
6	51	60	-0.15	-0.001335	0	-0.0003827574421739	0
7	61	70	-0.15	0.000725	0	1.807917826285744e-05	0
8	71	80	-0.15	-0.000725	0	-1.807917826287792e-05	0
9	81	90	0.15	0.004195	0	-1.297089791630333e-06	0
10	91	100	0.15	-0.004195	0	1.297089791631316e-06	0
11	101	110	0.15	0.00152	0	5.933814991154704e-06	0
12	111	120	0.15	-0.00152	0	-5.933814991133867e-06	0
13	121	130	0.15	0.001335	0	0.0003827574421732312	0
14	131	140	0.15	-0.001335	0	-0.00038275744217421	0
15	141	150	0.15	0.000725	0	1.807917826287184e-05	0
16	151	160	0.15	-0.000725	0	-1.80791782628505e-05	0
17	161	260	0	0.001695	0	-7.58931995276969e-05	0
18	261	360	0	0.006695	0	-3.718977785014049e-10	0
19	361	370	0	0.004195	-0.15	-1.297089791629418e-06	0
20	371	380	0	-0.004195	-0.15	1.29708979163763e-06	0
21	381	390	0	0.00152	-0.15	5.933814991131798e-06	0
22	391	400	0	-0.00152	-0.15	-5.933814991128699e-06	0
23	401	410	0	0.001335	-0.15	0.0003827574421737357	0
24	411	420	0	-0.001335	-0.15	-0.0003827574421743497	0
25	421	430	0	0.000725	-0.15	1.80791782628761e-05	0
26	431	440	0	-0.000725	-0.15	-1.807917826288205e-05	0
27	441	450	0	0.004195	0.15	-1.297089791636606e-06	0
28	451	460	0	-0.004195	0.15	1.297089791628381e-06	0
29	461	470	0	0.00152	0.15	5.933814991151561e-06	0
30	471	480	0	-0.00152	0.15	-5.933814991152344e-06	0
31	481	490	0	0.001335	0.15	0.0003827574421743031	0
32	491	500	0	-0.001335	0.15	-0.00038275744217385	0
33	501	510	0	0.000725	0.15	1.807917826286645e-05	0
34	511	520	0	-0.000725	0.15	-1.80791782628604e-05	0
35	521	620	0	-0.006695	0	3.718977792781001e-10	0
36	621	720	0	-0.001695	0	7.589319952769527e-05	0
37	721	820	0	0.001345	0	7.589303107476733e-05	0
38	821	920	0	-0.001345	0	-7.58930310747308e-05	0
39	921	1020	0	0.001325	0	1.084184217975679e-05	0
40	1021	1120	0	-0.001325	0	-1.084184217979253e-05	0
41	1121	1220	0	0.000125	0	9.757680322343746e-05	0
42	1221	1320	0	-0.000125	0	-9.75768032234374e-05	0
