#EleNb	X	Y	Z	Solution	Assigned	Total
1	-0.15	0.004195	-0.135	-1.295467106404971e-06	0	-1.295467106404971e-06
2	-0.15	0.004195	-0.105	-1.297475593284214e-06	0	-1.297475593284214e-06
3	-0.15	0.004195	-0.075	-1.297499982436744e-06	0	-1.297499982436744e-06
4	-0.15	0.004195	-0.045	-1.297502954841602e-06	0	-1.297502954841602e-06
5	-0.15	0.004195	-0.015	-1.297503318453313e-06	0	-1.297503318453313e-06
6	-0.15	0.004195	0.015	-1.297503319412648e-06	0	-1.297503319412648e-06
7	-0.15	0.004195	0.045	-1.297502957969072e-06	0	-1.297502957969072e-06
8	-0.15	0.004195	0.075	-1.297499982626886e-06	0	-1.297499982626886e-06
9	-0.15	0.004195	0.105	-1.297475595789928e-06	0	-1.297475595789928e-06
10	-0.15	0.004195	0.135	-1.295467105095571e-06	0	-1.295467105095571e-06
11	-0.15	-0.004195	-0.135	1.295467106363803e-06	0	1.295467106363803e-06
12	-0.15	-0.004195	-0.105	1.297475593277382e-06	0	1.297475593277382e-06
13	-0.15	-0.004195	-0.075	1.297499982428762e-06	0	1.297499982428762e-06
14	-0.15	-0.004195	-0.045	1.297502954833993e-06	0	1.297502954833993e-06
15	-0.15	-0.004195	-0.015	1.297503318471634e-06	0	1.297503318471634e-06
16	-0.15	-0.004195	0.015	1.297503319402045e-06	0	1.297503319402045e-06
17	-0.15	-0.004195	0.045	1.297502957975652e-06	0	1.297502957975652e-06
18	-0.15	-0.004195	0.075	1.297499982642677e-06	0	1.297499982642677e-06
19	-0.15	-0.004195	0.105	1.297475595828853e-06	0	1.297475595828853e-06
20	-0.15	-0.004195	0.135	1.295467105125967e-06	0	1.295467105125967e-06
21	-0.15	0.00152	-0.135	5.93373324927417e-06	0	5.93373324927417e-06
22	-0.15	0.00152	-0.105	5.933836851520128e-06	0	5.933836851520128e-06
23	-0.15	0.00152	-0.075	5.933834884776441e-06	0	5.933834884776441e-06
24	-0.15	0.00152	-0.045	5.933834959247335e-06	0	5.933834959247335e-06
25	-0.15	0.00152	-0.015	5.93383501131379e-06	0	5.93383501131379e-06
26	-0.15	0.00152	0.015	5.933835011362191e-06	0	5.933835011362191e-06
27	-0.15	0.00152	0.045	5.933834959146701e-06	0	5.933834959146701e-06
