#Row	GivenPot	Error
1	0	9.85155e-10
2	0	2.49571e-09
3	0	2.99957e-09
4	0	1.86088e-09
5	0	4.36502e-10
6	0	3.25999e-10
7	0	5.84406e-10
8	0	3.39873e-09
9	0	1.68979e-09
10	0	6.97982e-10
11	0	3.81932e-10
12	0	2.51435e-09
13	0	2.09235e-09
14	0	2.70762e-09
15	0	1.98325e-10
16	0	1.76629e-09
17	0	3.23725e-10
18	0	8.04848e-10
19	0	1.06314e-09
20	0	5.40639e-10
21	0	1.81334e-07
22	0	3.06327e-08
23	0	1.29528e-07
24	0	5.38148e-08
25	0	1.21456e-07
26	0	1.42649e-07
27	0	2.46695e-07
28	0	7.93279e-08
29	0	9.09022e-08
30	0	2.20958e-07
31	0	1.54261e-07
32	0	1.42501e-07
33	0	3.56174e-07
34	0	1.7738e-07
35	0	2.14004e-08
36	0	1.18746e-07
37	0	1.79552e-07
38	0	8.09014e-08
39	0	4.81788e-07
40	0	1.90579e-07
41	3000	1.00272e-09
42	3000	2.02863e-09
43	3000	2.79988e-09
44	3000	1.24874e-09
45	3000	4.09273e-12
46	3000	8.69477e-10
47	3000	2.91948e-10
48	3000	3.09274e-09
49	3000	1.33787e-09
50	3000	1.44928e-09
51	-3000	1.24328e-09
52	-3000	3.02452e-09
53	-3000	2.52339e-09
54	-3000	2.84581e-09
55	-3000	1.60526e-10
56	-3000	1.68029e-09
57	-3000	1.73259e-10
58	-3000	1.45928e-09
59	-3000	1.07821e-09
60	-3000	1.80353e-09
61	0	7.00948e-08
62	0	3.42607e-08
63	0	7.06787e-08
64	0	2.1815e-07
65	0	2.3404e-08
66	0	3.05514e-07
67	0	8.61382e-08
68	0	1.28048e-07
69	0	8.67349e-08
70	0	8.24475e-08
71	0	1.19682e-07
72	0	1.33782e-07
73	0	1.91474e-07
74	0	1.86845e-07
75	0	6.1018e-08
76	0	3.12973e-07
77	0	3.56613e-08
78	0	8.17417e-08
79	0	1.19562e-08
80	0	1.763e-07
81	0	2.1069e-09
82	0	1.53938e-09
83	0	5.32454e-10
84	0	1.37567e-09
85	0	2.43345e-10
86	0	1.25732e-09
87	0	4.32409e-10
88	0	1.38067e-09
89	0	2.46842e-09
90	0	1.67262e-09
91	0	1.00095e-09
92	0	1.15011e-09
93	0	1.46843e-09
94	0	1.86316e-09
95	0	1.01994e-09
96	0	5.44277e-10
97	0	6.88088e-10
98	0	1.57848e-09
99	0	3.90724e-09
100	0	1.76357e-09
101	0	7.26432e-08
102	0	1.53668e-07
103	0	1.35034e-07
104	0	2.60643e-08
105	0	8.09769e-08
106	0	1.3415e-07
107	0	1.42637e-07
108	0	1.68856e-07
109	0	1.80417e-07
110	0	2.63836e-08
111	0	4.93601e-08
112	0	1.18685e-07
113	0	1.74354e-07
114	0	9.8953e-09
115	0	4.53838e-08
116	0	1.40707e-07
117	0	3.68777e-08
118	0	9.85644e-08
119	0	1.27923e-07
120	0	2.0919e-07
121	3000	2.27419e-09
122	3000	2.06683e-09
123	3000	2.00544e-10
124	3000	2.38879e-09
125	3000	4.92491e-10
126	3000	1.56888e-10
127	3000	7.40783e-10
128	3000	2.37151e-09
129	3000	3.57022e-09
130	3000	1.00272e-09
131	-3000	1.56115e-09
132	-3000	2.1796e-09
133	-3000	8.75389e-10
134	-3000	4.53383e-10
135	-3000	4.01542e-10
136	-3000	2.59661e-10
137	-3000	3.35149e-10
138	-3000	2.05409e-09
139	-3000	4.3251e-09
140	-3000	1.75805e-09
141	0	1.00583e-07
142	0	5.50644e-08
143	0	1.25117e-07
144	0	9.70977e-08
145	0	7.52061e-09
146	0	3.91829e-08
147	0	9.14765e-08
148	0	8.95957e-08
149	0	1.36191e-07
150	0	3.73908e-08
151	0	3.07336e-08
152	0	1.44355e-08
153	0	5.20376e-08
154	0	6.23659e-08
155	0	4.60523e-08
156	0	4.36135e-08
157	0	1.74508e-07
158	0	1.00585e-07
159	0	1.54592e-07
160	0	7.34221e-08
161	0	2.28141e-09
162	0	9.00953e-11
163	0	1.74208e-09
164	0	3.00594e-09
165	0	2.86224e-09
166	0	2.30142e-09
167	0	3.36568e-10
168	0	2.97046e-09
169	0	1.41023e-09
170	0	2.34371e-09
171	0	9.00894e-09
172	0	4.21818e-09
173	0	1.68767e-10
174	0	9.7826e-11
175	0	3.58483e-09
176	0	1.729e-09
177	0	4.42869e-10
178	0	1.28183e-10
179	0	7.51753e-10
180	0	1.3311e-09
181	0	3.33006e-09
182	0	5.05128e-09
183	0	3.45784e-09
184	0	2.45619e-10
185	0	2.16238e-09
186	0	1.82848e-09
187	0	3.02538e-09
188	0	3.82953e-10
189	0	2.69523e-09
190	0	2.27652e-09
191	0	2.49423e-09
192	0	8.18146e-10
193	0	1.26562e-09
194	0	2.03369e-09
195	0	2.94166e-10
196	0	4.57986e-10
197	0	3.20996e-10
198	0	4.35138e-10
199	0	1.78801e-09
200	0	9.83674e-10
201	0	1.44741e-09
202	0	7.65395e-10
203	0	2.44967e-09
204	0	4.62245e-09
205	0	4.0522e-09
206	0	3.42965e-09
207	0	1.86759e-09
208	0	2.40067e-09
209	0	1.04416e-09
210	0	6.38062e-09
211	0	3.08006e-09
212	0	5.5701e-10
213	0	1.3028e-09
214	0	1.95945e-09
215	0	3.64656e-09
216	0	4.76176e-10
217	0	2.6908e-09
218	0	6.52507e-10
219	0	5.68349e-09
220	0	3.07551e-09
221	0	2.27788e-09
222	0	2.17784e-09
223	0	1.18744e-10
224	0	1.92318e-09
225	0	2.48059e-09
226	0	2.43239e-09
227	0	3.5107e-09
228	0	3.61621e-09
229	0	1.69126e-09
230	0	4.98591e-09
231	0	1.40193e-09
232	0	5.07185e-09
233	0	8.29969e-10
234	0	3.26196e-09
235	0	2.12134e-09
236	0	1.48924e-09
237	0	3.06813e-09
238	0	5.00167e-10
239	0	1.41296e-09
240	0	6.43068e-10
241	0	1.21094e-09
242	0	3.34381e-09
243	0	1.04461e-09
244	0	8.42702e-10
245	0	2.08678e-09
246	0	1.82485e-09
247	0	6.42503e-10
248	0	2.99734e-10
249	0	4.07687e-09
250	0	1.65761e-09
251	0	4.83341e-10
252	0	4.14417e-09
253	0	3.24377e-09
254	0	3.20375e-09
255	0	3.77389e-09
256	0	3.00537e-09
257	0	1.74117e-09
258	0	1.38794e-09
259	0	1.81268e-09
260	0	4.46162e-10
261	0	1.5138e-09
262	0	7.05368e-10
263	0	2.78493e-09
264	0	6.08809e-11
265	0	1.30518e-09
266	0	1.8577e-09
267	0	2.55169e-10
268	0	1.75436e-09
269	0	8.41682e-10
270	0	2.21093e-09
271	0	1.20741e-09
272	0	1.99124e-10
273	0	1.94956e-09
274	0	9.94022e-10
275	0	1.21741e-09
276	0	3.59165e-09
277	0	1.41023e-09
278	0	1.45605e-09
279	0	4.03083e-09
280	0	7.03125e-09
281	0	2.12373e-09
282	0	1.49667e-10
283	0	8.12123e-10
284	0	2.7927e-10
285	0	7.55433e-11
286	0	2.47252e-09
287	0	3.72948e-10
288	0	1.78665e-09
289	0	3.66339e-09
290	0	1.88942e-09
291	0	9.3638e-10
292	0	5.51226e-12
293	0	1.0736e-09
294	0	4.06489e-10
295	0	2.41011e-09
296	0	4.2691e-11
297	0	1.21741e-09
298	0	1.20013e-09
299	0	7.25267e-10
300	0	1.87942e-09
301	0	5.07822e-09
302	0	2.74173e-09
303	0	2.2074e-09
304	0	2.19865e-09
305	0	1.54472e-09
306	0	3.99945e-09
307	0	3.39463e-09
308	0	1.24186e-09
309	0	9.86292e-10
310	0	8.2815e-10
311	0	3.51662e-09
312	0	3.93044e-09
313	0	3.66926e-10
314	0	1.78085e-09
315	0	5.61558e-10
316	0	3.17363e-09
317	0	2.06313e-09
318	0	1.00084e-09
319	0	7.42658e-10
320	0	9.95497e-10
321	0	4.11916e-09
322	0	7.16737e-10
323	0	2.74309e-09
324	0	2.10281e-09
325	0	1.08088e-09
326	0	1.50288e-09
327	0	2.29703e-10
328	0	1.503e-09
329	0	1.87225e-09
330	0	6.86269e-10
331	0	1.29336e-09
332	0	1.55802e-09
333	0	1.09043e-09
334	0	1.77573e-09
335	0	1.03359e-09
336	0	9.62645e-10
337	0	1.94228e-09
338	0	1.76129e-09
339	0	5.26648e-09
340	0	3.64308e-10
341	0	2.18557e-09
342	0	4.96453e-09
343	0	9.64617e-11
344	0	8.84428e-10
345	0	1.53926e-09
346	0	5.62467e-10
347	0	1.86679e-09
348	0	2.74355e-09
349	0	2.38339e-09
350	0	4.41658e-11
351	0	3.78405e-10
352	0	2.67442e-09
353	0	1.9341e-09
354	0	1.39829e-09
355	0	1.32735e-09
356	0	2.04767e-09
357	0	1.89044e-09
358	0	5.24379e-10
359	0	1.72855e-09
360	0	1.1683e-09
361	0	8.0435e-11
362	0	1.71354e-09
363	0	1.56075e-09
364	0	3.37428e-09
365	0	3.55072e-09
366	0	4.36199e-09
367	0	2.57529e-09
368	0	1.7049e-09
369	0	4.83906e-10
370	0	6.973e-10
371	0	6.49435e-10
372	0	4.51619e-10
373	0	1.72628e-09
374	0	3.2856e-09
375	0	3.37383e-09
376	0	3.92907e-09
377	0	2.42977e-09
378	0	1.79676e-09
379	0	4.62533e-10
380	0	3.87844e-10
381	0	3.35876e-07
382	0	1.61555e-07
383	0	8.02938e-08
384	0	3.52455e-07
385	0	1.5713e-07
386	0	3.76088e-07
387	0	5.04533e-08
388	0	2.29859e-07
389	0	1.20425e-07
390	0	2.08688e-07
391	0	2.59011e-07
392	0	1.21665e-07
393	0	1.54143e-07
394	0	2.95649e-07
395	0	4.43715e-08
396	0	3.01005e-07
397	0	9.12551e-08
398	0	1.80353e-08
399	0	4.93937e-08
400	0	1.97875e-07
401	3000	3.3242e-10
402	3000	1.13187e-09
403	3000	1.76033e-09
404	3000	4.03907e-09
405	3000	2.95313e-09
406	3000	5.30827e-09
407	3000	1.5666e-09
408	3000	1.77033e-09
409	3000	4.36557e-10
410	3000	1.37834e-09
411	-3000	6.63931e-11
412	-3000	1.55478e-09
413	-3000	8.55835e-10
414	-3000	3.20188e-09
415	-3000	3.64616e-09
416	-3000	3.99814e-09
417	-3000	1.35697e-09
418	-3000	1.60344e-09
419	-3000	2.58933e-09
420	-3000	1.45383e-09
421	0	8.64147e-08
422	0	1.61581e-08
423	0	5.6225e-09
424	0	2.15252e-07
425	0	7.05968e-08
426	0	3.10493e-07
427	0	4.60932e-08
428	0	1.48867e-07
429	0	7.11734e-08
430	0	1.66808e-07
431	0	1.54054e-07
432	0	2.35814e-08
433	0	6.84613e-08
434	0	2.61847e-07
435	0	3.05499e-08
436	0	2.56805e-07
437	0	7.92288e-08
438	0	5.7772e-08
439	0	3.5142e-08
440	0	1.25637e-07
441	0	2.17682e-09
442	0	5.83072e-09
443	0	1.57883e-09
444	0	8.69876e-10
445	0	1.85027e-10
446	0	2.31881e-09
447	0	2.26151e-09
448	0	2.15151e-10
449	0	7.05258e-10
450	0	1.04991e-10
451	0	1.84849e-09
452	0	5.12677e-09
453	0	1.35464e-09
454	0	1.19548e-09
455	0	1.64219e-10
456	0	2.14055e-09
457	0	2.22513e-09
458	0	1.01353e-10
459	0	3.63288e-10
460	0	5.20741e-10
461	0	5.2638e-08
462	0	7.67185e-07
463	0	1.26037e-07
464	0	4.3166e-08
465	0	1.85819e-08
466	0	2.29834e-07
467	0	3.58796e-08
468	0	1.80975e-07
469	0	1.59023e-07
470	0	2.6077e-08
471	0	4.6457e-09
472	0	5.9739e-07
473	0	4.9936e-08
474	0	3.82602e-09
475	0	2.21958e-08
476	0	1.87805e-07
477	0	3.52797e-07
478	0	9.29649e-08
479	0	2.22062e-07
480	0	7.91624e-08
481	3000	1.80034e-09
482	3000	6.51562e-09
483	3000	2.50884e-09
484	3000	7.84439e-10
485	3000	8.43556e-10
486	3000	2.14868e-09
