#PrimNb	EleBgn	EleEnd	X	Y	Z	AvChDen	AvAsgndChDen
1	1	10	-0.015	0.00172	0	-0.0002976088109326875	0
2	11	20	-0.015	-0.00172	0	0.0002976088109326758	0
3	21	30	-0.015	0.00152	0	1.053670035892527e-05	0
4	31	40	-0.015	-0.00152	0	-1.053670035892266e-05	0
5	41	50	-0.015	0.001335	0	0.0006874433830113635	0
6	51	60	-0.015	-0.001335	0	-0.0006874433830113115	0
7	61	100	-0.015	0.000725	0	4.490194070186288e-05	0
8	101	140	-0.015	-0.000725	0	-4.490194070186627e-05	0
9	141	150	0.015	0.00172	0	-0.0002976088109326695	0
10	151	160	0.015	-0.00172	0	0.0002976088109327156	0
11	161	170	0.015	0.00152	0	1.053670035892464e-05	0
12	171	180	0.015	-0.00152	0	-1.053670035892643e-05	0
13	181	190	0.015	0.001335	0	0.0006874433830113641	0
14	191	200	0.015	-0.001335	0	-0.0006874433830112557	0
15	201	240	0.015	0.000725	0	4.490194070186513e-05	0
16	241	280	0.015	-0.000725	0	-4.49019407018642e-05	0
17	281	380	0	0.001695	0	-0.0001391455423993773	0
18	381	480	0	0.001745	0	-7.142359898604455e-07	0
19	481	490	0	0.00172	-0.015	-0.000297608810932643	0
20	491	500	0	-0.00172	-0.015	0.000297608810932705	0
21	501	510	0	0.00152	-0.015	1.053670035892722e-05	0
22	511	520	0	-0.00152	-0.015	-1.053670035892363e-05	0
23	521	530	0	0.001335	-0.015	0.0006874433830112301	0
24	531	540	0	-0.001335	-0.015	-0.0006874433830112534	0
25	541	580	0	0.000725	-0.015	4.490194070186738e-05	0
26	581	620	0	-0.000725	-0.015	-4.490194070186898e-05	0
27	621	630	0	0.00172	0.015	-0.0002976088109326824	0
28	631	640	0	-0.00172	0.015	0.0002976088109327048	0
29	641	650	0	0.00152	0.015	1.053670035892274e-05	0
30	651	660	0	-0.00152	0.015	-1.053670035892441e-05	0
31	661	670	0	0.001335	0.015	0.0006874433830113258	0
32	671	680	0	-0.001335	0.015	-0.0006874433830113787	0
33	681	720	0	0.000725	0.015	4.49019407018683e-05	0
34	721	760	0	-0.000725	0.015	-4.490194070186872e-05	0
35	761	860	0	-0.001745	0	7.142359898494732e-07	0
36	861	960	0	-0.001695	0	0.0001391455423993884	0
37	961	1060	0	0.001345	0	0.0001391474544800668	0
38	1061	1160	0	-0.001345	0	-0.0001391474544800141	0
39	1161	1260	0	0.001325	0	2.01115490432875e-05	0
40	1261	1360	0	-0.001325	0	-2.011154904334072e-05	0
41	1361	1460	0	0.000125	0	0.0001782433051558326	0
42	1461	1560	0	-0.000125	0	-0.0001782433051558326	0
