#EleNb	X	Y	Z	Solution	Assigned	Total
1	-0.015	0.00172	-0.0135	-0.0002888970486540388	0	-0.0002888970486540388
2	-0.015	0.00172	-0.0105	-0.0002995982505237299	0	-0.0002995982505237299
3	-0.015	0.00172	-0.0075	-0.0002998262567163277	0	-0.0002998262567163277
4	-0.015	0.00172	-0.0045	-0.0002998599601236078	0	-0.0002998599601236078
5	-0.015	0.00172	-0.0015	-0.000299862538646584	0	-0.000299862538646584
6	-0.015	0.00172	0.0015	-0.0002998625386431677	0	-0.0002998625386431677
7	-0.015	0.00172	0.0045	-0.0002998599601217804	0	-0.0002998599601217804
8	-0.015	0.00172	0.0075	-0.0002998262567136727	0	-0.0002998262567136727
9	-0.015	0.00172	0.0105	-0.0002995982505246096	0	-0.0002995982505246096
10	-0.015	0.00172	0.0135	-0.0002888970486593574	0	-0.0002888970486593574
11	-0.015	-0.00172	-0.0135	0.0002888970486540555	0	0.0002888970486540555
12	-0.015	-0.00172	-0.0105	0.0002995982505237413	0	0.0002995982505237413
13	-0.015	-0.00172	-0.0075	0.0002998262567163194	0	0.0002998262567163194
14	-0.015	-0.00172	-0.0045	0.0002998599601234808	0	0.0002998599601234808
15	-0.015	-0.00172	-0.0015	0.0002998625386466776	0	0.0002998625386466776
16	-0.015	-0.00172	0.0015	0.0002998625386431398	0	0.0002998625386431398
17	-0.015	-0.00172	0.0045	0.0002998599601216023	0	0.0002998599601216023
18	-0.015	-0.00172	0.0075	0.0002998262567136948	0	0.0002998262567136948
19	-0.015	-0.00172	0.0105	0.0002995982505247493	0	0.0002995982505247493
20	-0.015	-0.00172	0.0135	0.0002888970486592972	0	0.0002888970486592972
21	-0.015	0.00152	-0.0135	1.077501216818724e-05	0	1.077501216818724e-05
22	-0.015	0.00152	-0.0105	1.047855470348556e-05	0	1.047855470348556e-05
23	-0.015	0.00152	-0.0075	1.047597733833453e-05	0	1.047597733833453e-05
24	-0.015	0.00152	-0.0045	1.047671101681858e-05	0	1.047671101681858e-05
25	-0.015	0.00152	-0.0015	1.04772465677795e-05	0	1.04772465677795e-05
26	-0.015	0.00152	0.0015	1.047724656780521e-05	0	1.047724656780521e-05
27	-0.015	0.00152	0.0045	1.047671101687309e-05	0	1.047671101687309e-05
28	-0.015	0.00152	0.0075	1.047597733837668e-05	0	1.047597733837668e-05
29	-0.015	0.00152	0.0105	1.047855470343833e-05	0	1.047855470343833e-05
30	-0.015	0.00152	0.0135	1.077501216815397e-05	0	1.077501216815397e-05
31	-0.015	-0.00152	-0.0135	-1.077501216818946e-05	0	-1.077501216818946e-05
32	-0.015	-0.00152	-0.0105	-1.047855470347647e-05	0	-1.047855470347647e-05
33	-0.015	-0.00152	-0.0075	-1.047597733833128e-05	0	-1.047597733833128e-05
34	-0.015	-0.00152	-0.0045	-1.047671101681944e-05	0	-1.047671101681944e-05
35	-0.015	-0.00152	-0.0015	-1.047724656777397e-05	0	-1.047724656777397e-05
36	-0.015	-0.00152	0.0015	-1.047724656780342e-05	0	-1.047724656780342e-05
37	-0.015	-0.00152	0.0045	-1.047671101687259e-05	0	-1.047671101687259e-05
38	-0.015	-0.00152	0.0075	-1.047597733837395e-05	0	-1.047597733837395e-05
39	-0.015	-0.00152	0.0105	-1.047855470343927e-05	0	-1.047855470343927e-05
40	-0.015	-0.00152	0.0135	-1.077501216814673e-05	0	-1.077501216814673e-05
41	-0.015	0.001335	-0.0135	0.0007040539566193962	0	0.0007040539566193962
42	-0.015	0.001335	-0.0105	0.0006834807586551667	0	0.0006834807586551667
43	-0.015	0.001335	-0.0075	0.0006832610728914803	0	0.0006832610728914803
44	-0.015	0.001335	-0.0045	0.0006832139457055476	0	0.0006832139457055476
45	-0.015	0.001335	-0.0015	0.0006832071811882225	0	0.0006832071811882225
46	-0.015	0.001335	0.0015	0.0006832071811498068	0	0.0006832071811498068
47	-0.015	0.001335	0.0045	0.0006832139456525415	0	0.0006832139456525415
48	-0.015	0.001335	0.0075	0.0006832610728334822	0	0.0006832610728334822
49	-0.015	0.001335	0.0105	0.0006834807587105294	0	0.0006834807587105294
50	-0.015	0.001335	0.0135	0.0007040539567074627	0	0.0007040539567074627
51	-0.015	-0.001335	-0.0135	-0.0007040539566190807	0	-0.0007040539566190807
52	-0.015	-0.001335	-0.0105	-0.0006834807586550775	0	-0.0006834807586550775
53	-0.015	-0.001335	-0.0075	-0.000683261072891412	0	-0.000683261072891412
54	-0.015	-0.001335	-0.0045	-0.0006832139457056111	0	-0.0006832139457056111
55	-0.015	-0.001335	-0.0015	-0.0006832071811877233	0	-0.0006832071811877233
56	-0.015	-0.001335	0.0015	-0.0006832071811498521	0	-0.0006832071811498521
57	-0.015	-0.001335	0.0045	-0.0006832139456526365	0	-0.0006832139456526365
58	-0.015	-0.001335	0.0075	-0.0006832610728334409	0	-0.0006832610728334409
59	-0.015	-0.001335	0.0105	-0.0006834807587105343	0	-0.0006834807587105343
60	-0.015	-0.001335	0.0135	-0.0007040539567077464	0	-0.0007040539567077464
61	-0.015	0.000275	-0.0135	5.020874063114046e-05	0	5.020874063114046e-05
62	-0.015	0.000275	-0.0105	5.060356680492704e-05	0	5.060356680492704e-05
63	-0.015	0.000275	-0.0075	5.060233555337501e-05	0	5.060233555337501e-05
64	-0.015	0.000275	-0.0045	5.060233362953859e-05	0	5.060233362953859e-05
65	-0.015	0.000275	-0.0015	5.060233573789774e-05	0	5.060233573789774e-05
66	-0.015	0.000275	0.0015	5.060233573789652e-05	0	5.060233573789652e-05
67	-0.015	0.000275	0.0045	5.060233362950599e-05	0	5.060233362950599e-05
68	-0.015	0.000275	0.0075	5.060233555337157e-05	0	5.060233555337157e-05
69	-0.015	0.000275	0.0105	5.060356680494649e-05	0	5.060356680494649e-05
70	-0.015	0.000275	0.0135	5.020874063118318e-05	0	5.020874063118318e-05
71	-0.015	0.000575	-0.0135	3.262156572218498e-05	0	3.262156572218498e-05
72	-0.015	0.000575	-0.0105	3.264003702407611e-05	0	3.264003702407611e-05
73	-0.015	0.000575	-0.0075	3.263447065008878e-05	0	3.263447065008878e-05
74	-0.015	0.000575	-0.0045	3.263409220937094e-05	0	3.263409220937094e-05
75	-0.015	0.000575	-0.0015	3.263409916784115e-05	0	3.263409916784115e-05
76	-0.015	0.000575	0.0015	3.263409916784901e-05	0	3.263409916784901e-05
77	-0.015	0.000575	0.0045	3.263409220938269e-05	0	3.263409220938269e-05
78	-0.015	0.000575	0.0075	3.263447065009006e-05	0	3.263447065009006e-05
79	-0.015	0.000575	0.0105	3.2640037024059e-05	0	3.2640037024059e-05
80	-0.015	0.000575	0.0135	3.262156572215497e-05	0	3.262156572215497e-05
81	-0.015	0.000875	-0.0135	3.644419659239778e-05	0	3.644419659239778e-05
82	-0.015	0.000875	-0.0105	3.623169392765461e-05	0	3.623169392765461e-05
83	-0.015	0.000875	-0.0075	3.622314887593529e-05	0	3.622314887593529e-05
84	-0.015	0.000875	-0.0045	3.622260576739284e-05	0	3.622260576739284e-05
85	-0.015	0.000875	-0.0015	3.622266625344208e-05	0	3.622266625344208e-05
86	-0.015	0.000875	0.0015	3.622266625346083e-05	0	3.622266625346083e-05
87	-0.015	0.000875	0.0045	3.622260576741695e-05	0	3.622260576741695e-05
88	-0.015	0.000875	0.0075	3.622314887595056e-05	0	3.622314887595056e-05
89	-0.015	0.000875	0.0105	3.623169392763049e-05	0	3.623169392763049e-05
90	-0.015	0.000875	0.0135	3.64441965923569e-05	0	3.64441965923569e-05
91	-0.015	0.001175	-0.0135	6.060262937210399e-05	0	6.060262937210399e-05
92	-0.015	0.001175	-0.0105	6.008438387565527e-05	0	6.008438387565527e-05
93	-0.015	0.001175	-0.0075	6.007487497646343e-05	0	6.007487497646343e-05
94	-0.015	0.001175	-0.0045	6.00744111595236e-05	0	6.00744111595236e-05
95	-0.015	0.001175	-0.0015	6.007462610625391e-05	0	6.007462610625391e-05
96	-0.015	0.001175	0.0015	6.007462610631426e-05	0	6.007462610631426e-05
97	-0.015	0.001175	0.0045	6.007441115956165e-05	0	6.007441115956165e-05
98	-0.015	0.001175	0.0075	6.007487497650592e-05	0	6.007487497650592e-05
99	-0.015	0.001175	0.0105	6.008438387556123e-05	0	6.008438387556123e-05
100	-0.015	0.001175	0.0135	6.060262937205497e-05	0	6.060262937205497e-05
101	-0.015	-0.001175	-0.0135	-6.06026293721118e-05	0	-6.06026293721118e-05
102	-0.015	-0.001175	-0.0105	-6.008438387564705e-05	0	-6.008438387564705e-05
103	-0.015	-0.001175	-0.0075	-6.007487497646525e-05	0	-6.007487497646525e-05
104	-0.015	-0.001175	-0.0045	-6.007441115950513e-05	0	-6.007441115950513e-05
105	-0.015	-0.001175	-0.0015	-6.007462610629037e-05	0	-6.007462610629037e-05
106	-0.015	-0.001175	0.0015	-6.007462610629097e-05	0	-6.007462610629097e-05
107	-0.015	-0.001175	0.0045	-6.007441115952411e-05	0	-6.007441115952411e-05
108	-0.015	-0.001175	0.0075	-6.007487497647006e-05	0	-6.007487497647006e-05
109	-0.015	-0.001175	0.0105	-6.008438387554366e-05	0	-6.008438387554366e-05
110	-0.015	-0.001175	0.0135	-6.060262937205113e-05	0	-6.060262937205113e-05
111	-0.015	-0.000875	-0.0135	-3.644419659240274e-05	0	-3.644419659240274e-05
112	-0.015	-0.000875	-0.0105	-3.623169392766475e-05	0	-3.623169392766475e-05
113	-0.015	-0.000875	-0.0075	-3.622314887593266e-05	0	-3.622314887593266e-05
114	-0.015	-0.000875	-0.0045	-3.622260576738431e-05	0	-3.622260576738431e-05
115	-0.015	-0.000875	-0.0015	-3.622266625345116e-05	0	-3.622266625345116e-05
116	-0.015	-0.000875	0.0015	-3.62226662534601e-05	0	-3.62226662534601e-05
117	-0.015	-0.000875	0.0045	-3.622260576742141e-05	0	-3.622260576742141e-05
118	-0.015	-0.000875	0.0075	-3.622314887595813e-05	0	-3.622314887595813e-05
119	-0.015	-0.000875	0.0105	-3.623169392762307e-05	0	-3.623169392762307e-05
120	-0.015	-0.000875	0.0135	-3.644419659235193e-05	0	-3.644419659235193e-05
121	-0.015	-0.000575	-0.0135	-3.262156572218673e-05	0	-3.262156572218673e-05
122	-0.015	-0.000575	-0.0105	-3.264003702406988e-05	0	-3.264003702406988e-05
123	-0.015	-0.000575	-0.0075	-3.263447065008116e-05	0	-3.263447065008116e-05
124	-0.015	-0.000575	-0.0045	-3.263409220936914e-05	0	-3.263409220936914e-05
125	-0.015	-0.000575	-0.0015	-3.263409916784758e-05	0	-3.263409916784758e-05
126	-0.015	-0.000575	0.0015	-3.263409916784628e-05	0	-3.263409916784628e-05
127	-0.015	-0.000575	0.0045	-3.263409220937792e-05	0	-3.263409220937792e-05
128	-0.015	-0.000575	0.0075	-3.263447065008644e-05	0	-3.263447065008644e-05
129	-0.015	-0.000575	0.0105	-3.264003702406832e-05	0	-3.264003702406832e-05
130	-0.015	-0.000575	0.0135	-3.262156572215194e-05	0	-3.262156572215194e-05
131	-0.015	-0.000275	-0.0135	-5.02087406311983e-05	0	-5.02087406311983e-05
132	-0.015	-0.000275	-0.0105	-5.060356680494283e-05	0	-5.060356680494283e-05
133	-0.015	-0.000275	-0.0075	-5.06023355533584e-05	0	-5.06023355533584e-05
134	-0.015	-0.000275	-0.0045	-5.060233362955979e-05	0	-5.060233362955979e-05
135	-0.015	-0.000275	-0.0015	-5.060233573795819e-05	0	-5.060233573795819e-05
136	-0.015	-0.000275	0.0015	-5.060233573794013e-05	0	-5.060233573794013e-05
137	-0.015	-0.000275	0.0045	-5.060233362954089e-05	0	-5.060233362954089e-05
138	-0.015	-0.000275	0.0075	-5.060233555340403e-05	0	-5.060233555340403e-05
139	-0.015	-0.000275	0.0105	-5.060356680499042e-05	0	-5.060356680499042e-05
140	-0.015	-0.000275	0.0135	-5.02087406311246e-05	0	-5.02087406311246e-05
141	0.015	0.00172	0.0135	-0.0002888970486541409	0	-0.0002888970486541409
142	0.015	0.00172	0.0105	-0.0002995982505236886	0	-0.0002995982505236886
143	0.015	0.00172	0.0075	-0.0002998262567163316	0	-0.0002998262567163316
144	0.015	0.00172	0.0045	-0.0002998599601234897	0	-0.0002998599601234897
145	0.015	0.00172	0.0015	-0.0002998625386466506	0	-0.0002998625386466506
146	0.015	0.00172	-0.0015	-0.0002998625386432428	0	-0.0002998625386432428
147	0.015	0.00172	-0.0045	-0.0002998599601217021	0	-0.0002998599601217021
148	0.015	0.00172	-0.0075	-0.0002998262567136187	0	-0.0002998262567136187
149	0.015	0.00172	-0.0105	-0.0002995982505245345	0	-0.0002995982505245345
150	0.015	0.00172	-0.0135	-0.000288897048659295	0	-0.000288897048659295
151	0.015	-0.00172	0.0135	0.0002888970486540141	0	0.0002888970486540141
152	0.015	-0.00172	0.0105	0.0002995982505237132	0	0.0002995982505237132
153	0.015	-0.00172	0.0075	0.0002998262567163213	0	0.0002998262567163213
154	0.015	-0.00172	0.0045	0.0002998599601237	0	0.0002998599601237
155	0.015	-0.00172	0.0015	0.000299862538646648	0	0.000299862538646648
156	0.015	-0.00172	-0.0015	0.0002998625386431525	0	0.0002998625386431525
157	0.015	-0.00172	-0.0045	0.0002998599601218164	0	0.0002998599601218164
158	0.015	-0.00172	-0.0075	0.0002998262567137803	0	0.0002998262567137803
159	0.015	-0.00172	-0.0105	0.0002995982505246648	0	0.0002995982505246648
160	0.015	-0.00172	-0.0135	0.0002888970486593454	0	0.0002888970486593454
161	0.015	0.00152	0.0135	1.077501216819357e-05	0	1.077501216819357e-05
162	0.015	0.00152	0.0105	1.047855470347758e-05	0	1.047855470347758e-05
163	0.015	0.00152	0.0075	1.047597733833681e-05	0	1.047597733833681e-05
164	0.015	0.00152	0.0045	1.047671101681826e-05	0	1.047671101681826e-05
165	0.015	0.00152	0.0015	1.047724656777432e-05	0	1.047724656777432e-05
166	0.015	0.00152	-0.0015	1.047724656780572e-05	0	1.047724656780572e-05
167	0.015	0.00152	-0.0045	1.047671101686885e-05	0	1.047671101686885e-05
168	0.015	0.00152	-0.0075	1.04759773383725e-05	0	1.04759773383725e-05
169	0.015	0.00152	-0.0105	1.047855470344444e-05	0	1.047855470344444e-05
170	0.015	0.00152	-0.0135	1.077501216815439e-05	0	1.077501216815439e-05
171	0.015	-0.00152	0.0135	-1.077501216819247e-05	0	-1.077501216819247e-05
172	0.015	-0.00152	0.0105	-1.047855470348552e-05	0	-1.047855470348552e-05
173	0.015	-0.00152	0.0075	-1.04759773383304e-05	0	-1.04759773383304e-05
174	0.015	-0.00152	0.0045	-1.047671101682366e-05	0	-1.047671101682366e-05
175	0.015	-0.00152	0.0015	-1.047724656777984e-05	0	-1.047724656777984e-05
176	0.015	-0.00152	-0.0015	-1.04772465678067e-05	0	-1.04772465678067e-05
177	0.015	-0.00152	-0.0045	-1.047671101687457e-05	0	-1.047671101687457e-05
178	0.015	-0.00152	-0.0075	-1.04759773383765e-05	0	-1.04759773383765e-05
179	0.015	-0.00152	-0.0105	-1.047855470344076e-05	0	-1.047855470344076e-05
180	0.015	-0.00152	-0.0135	-1.077501216815391e-05	0	-1.077501216815391e-05
181	0.015	0.001335	0.0135	0.0007040539566192599	0	0.0007040539566192599
182	0.015	0.001335	0.0105	0.0006834807586549995	0	0.0006834807586549995
183	0.015	0.001335	0.0075	0.0006832610728915817	0	0.0006832610728915817
184	0.015	0.001335	0.0045	0.0006832139457056984	0	0.0006832139457056984
185	0.015	0.001335	0.0015	0.0006832071811878461	0	0.0006832071811878461
186	0.015	0.001335	-0.0015	0.0006832071811498257	0	0.0006832071811498257
187	0.015	0.001335	-0.0045	0.0006832139456526624	0	0.0006832139456526624
188	0.015	0.001335	-0.0075	0.0006832610728335544	0	0.0006832610728335544
189	0.015	0.001335	-0.0105	0.0006834807587105668	0	0.0006834807587105668
190	0.015	0.001335	-0.0135	0.0007040539567076459	0	0.0007040539567076459
191	0.015	-0.001335	0.0135	-0.0007040539566191331	0	-0.0007040539566191331
