#PrimNb	EleBgn	EleEnd	X	Y	Z	AvChDen	AvAsgndChDen
1	1	10	-0.015	0.00172	0	-5.952176218653755e-05	0
2	11	20	-0.015	-0.00172	0	5.952176218653517e-05	0
3	21	30	-0.015	0.00152	0	2.107340071785055e-06	0
4	31	40	-0.015	-0.00152	0	-2.107340071784535e-06	0
5	41	50	-0.015	0.001335	0	0.0001374886766022725	0
6	51	60	-0.015	-0.001335	0	-0.0001374886766022622	0
7	61	100	-0.015	0.000725	0	8.980388140372572e-06	0
8	101	140	-0.015	-0.000725	0	-8.980388140373258e-06	0
9	141	150	0.015	0.00172	0	-5.952176218653388e-05	0
10	151	160	0.015	-0.00172	0	5.952176218654307e-05	0
11	161	170	0.015	0.00152	0	2.107340071784926e-06	0
12	171	180	0.015	-0.00152	0	-2.107340071785288e-06	0
13	181	190	0.015	0.001335	0	0.0001374886766022728	0
14	191	200	0.015	-0.001335	0	-0.0001374886766022512	0
15	201	240	0.015	0.000725	0	8.980388140373026e-06	0
16	241	280	0.015	-0.000725	0	-8.980388140372838e-06	0
17	281	380	0	0.001695	0	-2.782910847987546e-05	0
18	381	480	0	0.001745	0	-1.42847197972089e-07	0
19	481	490	0	0.00172	-0.015	-5.952176218652861e-05	0
20	491	500	0	-0.00172	-0.015	5.952176218654099e-05	0
21	501	510	0	0.00152	-0.015	2.107340071785442e-06	0
22	511	520	0	-0.00152	-0.015	-2.107340071784726e-06	0
23	521	530	0	0.001335	-0.015	0.0001374886766022458	0
24	531	540	0	-0.001335	-0.015	-0.0001374886766022503	0
25	541	580	0	0.000725	-0.015	8.980388140373478e-06	0
26	581	620	0	-0.000725	-0.015	-8.980388140373792e-06	0
27	621	630	0	0.00172	0.015	-5.952176218653641e-05	0
28	631	640	0	-0.00172	0.015	5.952176218654098e-05	0
29	641	650	0	0.00152	0.015	2.107340071784543e-06	0
30	651	660	0	-0.00152	0.015	-2.107340071784881e-06	0
31	661	670	0	0.001335	0.015	0.0001374886766022653	0
32	671	680	0	-0.001335	0.015	-0.0001374886766022756	0
33	681	720	0	0.000725	0.015	8.980388140373661e-06	0
34	721	760	0	-0.000725	0.015	-8.980388140373742e-06	0
35	761	860	0	-0.001745	0	1.428471979698947e-07	0
36	861	960	0	-0.001695	0	2.782910847987766e-05	0
37	961	1060	0	0.001345	0	2.782949089601341e-05	0
38	1061	1160	0	-0.001345	0	-2.782949089600284e-05	0
39	1161	1260	0	0.001325	0	4.022309808657495e-06	0
40	1261	1360	0	-0.001325	0	-4.022309808668035e-06	0
41	1361	1460	0	0.000125	0	3.564866103116653e-05	0
42	1461	1560	0	-0.000125	0	-3.564866103116654e-05	0
