#EleNb	X	Y	Z	Solution	Assigned	Total
1	-0.015	0.00172	-0.0135	-5.777940973080785e-05	0	-5.777940973080785e-05
2	-0.015	0.00172	-0.0105	-5.991965010474595e-05	0	-5.991965010474595e-05
3	-0.015	0.00172	-0.0075	-5.99652513432656e-05	0	-5.99652513432656e-05
4	-0.015	0.00172	-0.0045	-5.997199202472175e-05	0	-5.997199202472175e-05
5	-0.015	0.00172	-0.0015	-5.997250772931694e-05	0	-5.997250772931694e-05
6	-0.015	0.00172	0.0015	-5.997250772863337e-05	0	-5.997250772863337e-05
7	-0.015	0.00172	0.0045	-5.997199202435622e-05	0	-5.997199202435622e-05
8	-0.015	0.00172	0.0075	-5.996525134273453e-05	0	-5.996525134273453e-05
9	-0.015	0.00172	0.0105	-5.991965010492198e-05	0	-5.991965010492198e-05
10	-0.015	0.00172	0.0135	-5.777940973187124e-05	0	-5.777940973187124e-05
11	-0.015	-0.00172	-0.0135	5.777940973081105e-05	0	5.777940973081105e-05
12	-0.015	-0.00172	-0.0105	5.991965010474831e-05	0	5.991965010474831e-05
13	-0.015	-0.00172	-0.0075	5.996525134326379e-05	0	5.996525134326379e-05
14	-0.015	-0.00172	-0.0045	5.997199202469614e-05	0	5.997199202469614e-05
15	-0.015	-0.00172	-0.0015	5.997250772933549e-05	0	5.997250772933549e-05
16	-0.015	-0.00172	0.0015	5.997250772862795e-05	0	5.997250772862795e-05
17	-0.015	-0.00172	0.0045	5.997199202432054e-05	0	5.997199202432054e-05
18	-0.015	-0.00172	0.0075	5.996525134273893e-05	0	5.996525134273893e-05
19	-0.015	-0.00172	0.0105	5.991965010494988e-05	0	5.991965010494988e-05
20	-0.015	-0.00172	0.0135	5.77794097318596e-05	0	5.77794097318596e-05
21	-0.015	0.00152	-0.0135	2.155002433637433e-06	0	2.155002433637433e-06
22	-0.015	0.00152	-0.0105	2.095710940697116e-06	0	2.095710940697116e-06
23	-0.015	0.00152	-0.0075	2.095195467666895e-06	0	2.095195467666895e-06
24	-0.015	0.00152	-0.0045	2.095342203363716e-06	0	2.095342203363716e-06
25	-0.015	0.00152	-0.0015	2.0954493135559e-06	0	2.0954493135559e-06
