#Row	GivenPot	Error
1	0	2.20126e-11
2	0	4.68674e-11
3	0	5.04201e-11
4	0	2.41869e-11
5	0	1.86731e-11
6	0	1.50351e-11
7	0	9.00968e-12
8	0	6.92069e-11
9	0	3.49019e-11
10	0	1.03e-10
11	0	2.55937e-11
12	0	8.55351e-11
13	0	2.09752e-11
14	0	7.94387e-12
15	0	3.05533e-12
16	0	4.37126e-11
17	0	2.41585e-11
18	0	1.87157e-11
19	0	1.04976e-10
20	0	6.74873e-11
21	0	6.4847e-09
22	0	3.23168e-08
23	0	1.07868e-08
24	0	2.09902e-08
25	0	3.12457e-08
26	0	3.05845e-08
27	0	1.69803e-09
28	0	2.83039e-08
29	0	3.06272e-09
30	0	5.03633e-09
31	0	3.69967e-08
32	0	3.59571e-08
33	0	1.44846e-08
34	0	6.59802e-08
35	0	4.36967e-09
36	0	2.11799e-08
37	0	6.31226e-08
38	0	7.2052e-08
39	0	5.95674e-09
40	0	1.23378e-08
41	1100	7.63976e-11
42	1100	3.97904e-11
43	1100	5.61613e-11
44	1100	1.86446e-11
45	1100	3.27418e-11
46	1100	6.79847e-11
47	1100	3.27418e-11
48	1100	8.36735e-11
49	1100	4.77485e-12
50	1100	6.59384e-11
51	-1100	2.20552e-11
52	-1100	4.38831e-11
53	-1100	6.50289e-11
54	-1100	4.70664e-11
55	-1100	7.07132e-11
56	-1100	1.12095e-10
57	-1100	6.95763e-11
58	-1100	7.09406e-11
59	-1100	1.59162e-11
60	-1100	2.54659e-11
61	0	4.17754e-09
62	0	7.78573e-09
63	0	1.93995e-09
64	0	2.64117e-09
65	0	1.53891e-08
66	0	1.06502e-08
67	0	3.71801e-09
68	0	1.40931e-08
69	0	1.4792e-08
70	0	6.35146e-09
71	0	7.77732e-09
72	0	2.71439e-09
73	0	5.36033e-09
74	0	1.10222e-08
75	0	1.30999e-08
76	0	2.95677e-09
77	0	3.42015e-09
78	0	1.87124e-08
79	0	7.42602e-10
80	0	9.16953e-09
81	0	1.64941e-08
82	0	8.18227e-09
83	0	2.42865e-08
84	0	7.53198e-09
85	0	3.47154e-09
86	0	2.56473e-08
87	0	6.97673e-09
88	0	1.15547e-08
89	0	2.26855e-08
90	0	2.06414e-08
91	0	4.72585e-08
92	0	1.16429e-08
93	0	4.00407e-08
94	0	3.14139e-08
95	0	2.36014e-09
96	0	6.35855e-08
97	0	6.03814e-09
98	0	2.51357e-08
99	0	1.5837e-08
100	0	1.13096e-08
101	0	4.52562e-08
102	0	3.56438e-08
103	0	1.36188e-08
104	0	2.30411e-08
105	0	6.25914e-09
106	0	6.562e-09
107	0	3.40469e-09
108	0	5.09608e-08
109	0	3.0529e-08
110	0	1.35351e-08
111	0	1.46383e-09
112	0	7.51425e-09
113	0	1.54096e-08
114	0	8.80573e-09
115	0	6.99492e-09
116	0	7.13453e-09
117	0	2.16519e-08
118	0	3.99723e-10
119	0	2.99974e-08
120	0	1.01345e-08
121	0	3.91537e-10
122	0	1.72779e-08
123	0	1.57547e-08
124	0	2.11912e-10
125	0	3.1273e-09
126	0	6.12818e-09
127	0	1.98897e-08
128	0	1.15897e-08
129	0	7.97809e-09
130	0	1.16165e-08
131	0	7.29869e-10
132	0	1.64332e-08
133	0	6.45741e-10
134	0	1.42104e-08
135	0	8.10996e-09
136	0	3.31192e-09
137	0	6.37101e-10
138	0	4.39877e-09
139	0	9.53514e-09
140	0	1.94641e-08
141	0	5.40723e-11
142	0	5.98703e-11
143	0	2.03684e-10
144	0	1.39963e-10
145	0	1.2075e-10
146	0	3.55129e-11
147	0	2.79812e-11
148	0	8.1414e-11
149	0	5.15286e-11
150	0	3.67066e-11
151	0	2.70148e-11
152	0	1.33994e-10
153	0	6.77716e-11
154	0	1.22e-10
155	0	8.5592e-11
156	0	1.81473e-11
157	0	4.51763e-11
158	0	2.59917e-11
159	0	3.18039e-11
160	0	3.07523e-11
161	0	3.14612e-08
162	0	6.12054e-08
163	0	1.78006e-08
164	0	2.19752e-08
165	0	3.34294e-08
166	0	8.95125e-09
167	0	5.84664e-08
168	0	1.35269e-08
169	0	4.71266e-09
170	0	5.9118e-09
171	0	2.5786e-08
172	0	5.30126e-08
173	0	2.41307e-08
174	0	3.47463e-08
175	0	1.37288e-09
176	0	1.57813e-08
177	0	3.35955e-08
178	0	4.99919e-08
179	0	1.49316e-08
180	0	6.73714e-09
181	1100	6.98037e-11
182	1100	7.59428e-11
183	1100	1.29603e-10
184	1100	1.2119e-10
185	1100	7.04858e-11
186	1100	3.13776e-11
187	1100	2.56932e-11
188	1100	1.97815e-11
189	1100	2.09184e-11
190	1100	9.77707e-12
191	-1100	5.59339e-11
192	-1100	1.88265e-10
193	-1100	1.01409e-10
194	-1100	1.14142e-10
195	-1100	7.18501e-11
196	-1100	2.11458e-11
197	-1100	2.04636e-12
198	-1100	5.82077e-11
199	-1100	3.68345e-11
200	-1100	4.6839e-11
201	0	2.2701e-08
202	0	2.65718e-08
203	0	5.26416e-09
204	0	2.81962e-08
205	0	3.23234e-09
206	0	7.83825e-09
207	0	2.08689e-08
208	0	4.44999e-09
209	0	5.45657e-09
210	0	9.80774e-09
211	0	1.29221e-08
212	0	1.88156e-08
213	0	9.84437e-09
214	0	2.07137e-08
215	0	2.6871e-09
216	0	9.39167e-09
217	0	2.04586e-08
218	0	4.31834e-09
219	0	1.00806e-08
220	0	2.19018e-10
221	0	4.59841e-08
222	0	3.47936e-08
223	0	3.83079e-08
